exam,exam_question_index,module,question_type,passage_or_sentence,question_text,A,B,C,D,correct,explanation
7,5,Craft and Structure,Text Structure and Purpose,"The article explains a problem then presents a solution.","What is the purpose?","To entertain","To confuse","To inform and solve","To argue",C,"Logical problem-solving structure."
7,6,Standard English Conventions,Form Structure and Sense,"Each of the students have a book.","Correct form?","Has","Have","Had","Having",A,"Singular subject, singular verb."
7,7,Information and Ideas,Central Idea,"The passage discusses the benefits of exercise.","Main idea?","Exercise hurts.","Exercise improves health.","Exercise is tiring.","Exercise is boring.",B,"Focuses on benefits."
7,8,Expression of Ideas,Rhetorical Synthesis,"The text compares traditional and online schools.","What rhetorical device?","Narration","Comparison","Description","Argument",B,"Compares two educational models."
7,9,Craft and Structure,Cross-Text Connections,"Text A discusses deforestation causes; Text B effects on animals.","Relationship?","Cause-effect","Opposition","Unrelated","Agreement",A,"Cause leads to effect."
7,10,Standard English Conventions,Boundaries,"Let's eat children!","How punctuation changes meaning?","Inviting children to eat","Eating children","No change","Both same",A,"Comma changes meaning."
7,11,Information and Ideas,Inferences,"She carries a lunchbox.","What can be inferred?","She skips lunch.","She eats lunch.","She eats fast.","She cooks.",B,"Lunchbox suggests lunch."
7,12,Expression of Ideas,Transitions,"She was tired; nevertheless, she finished.","'Nevertheless' means?","Addition","Contrast","Cause","Result",B,"Shows contrast."
7,13,Craft and Structure,Words in Context,"The speech was inspiring.","What does 'inspiring' mean?","Boring","Motivating","Confusing","Long",B,"Motivates listeners."
7,14,Standard English Conventions,Form Structure and Sense,"Neither of the answers are correct.","Correct form?","Is","Are","Was","Were",A,"Singular subject."
7,15,Information and Ideas,Command of Evidence,"Data shows recycling rates rising.","Which confirms?","Recycling down.","Recycling up.","No change.","Unknown.",B,"Evidence of rise."
7,16,Expression of Ideas,Rhetorical Synthesis,"The article discusses pros and cons of remote work.","What strategy?","Balanced","Bias","Narration","Description",A,"Presents both sides."
7,17,Craft and Structure,Text Structure and Purpose,"The section explains how to prepare for a test.","What is the purpose?","To entertain","To instruct","To confuse","To argue",B,"Instructional."
7,18,Standard English Conventions,Boundaries,"Running late, the bus left.","What revision clarifies?","Running late, the bus left.","Running late the bus left.","Running late; the bus left.","Running late: the bus left.",A,"Comma clarifies."
7,19,Information and Ideas,Central Idea,"Passage stresses importance of clean air.","Central idea?","Clean air needless.","Clean air vital.","Clean air harmful.","Clean air rare.",B,"Emphasizes necessity."
7,20,Expression of Ideas,Transitions,"Although tired, he completed the race.","What does 'although' mean?","Cause","Addition","Contrast","Result",C,"Introduces contrast."
7,21,Craft and Structure,Words in Context,"The sky was overcast and gloomy.","Meaning of 'overcast'?","Clear","Cloudy","Sunny","Bright",B,"Covered with clouds."
7,22,Standard English Conventions,Form Structure and Sense,"The group is large.","Correct verb?","Is","Are","Was","Were",A,"Singular subject."
7,23,Information and Ideas,Command of Evidence,"Graphs show increased solar energy.","Which supports?","Use dropped.","Use rose.","Use stable.","Unknown.",B,"Confirms rise."
7,24,Expression of Ideas,Rhetorical Synthesis,"The essay compares urban and rural living.","Rhetorical device?","Compare","Narrate","Describe","Argue",A,"Shows differences."
7,25,Craft and Structure,Cross-Text Connections,"Text A focuses on causes of drought; Text B on effects.","Relation?","Cause-effect","Opposition","Unrelated","Agreement",A,"One causes the other."
7,26,Standard English Conventions,Boundaries,"Wake up John!","Why comma?","Vocative","No use","Pause","Emotion",A,"Separates name."
7,27,Information and Ideas,Inferences,"A student carries a backpack.","What is inferred?","Prepared for school.","Playing outside.","Sleeping.","Eating.",A,"Likely school related."
7,28,Expression of Ideas,Transitions,"He studied hard; hence, he passed.","Meaning?","Cause","Effect","Addition","Contrast",B,"Shows result."
7,29,Craft and Structure,Words in Context,"The garden was flourishing.","Meaning?","Dying","Growing well","Dry","Sparse",B,"Growing abundantly."
7,30,Standard English Conventions,Form Structure and Sense,"Between you and me.","Which is correct?","Me","I","Us","We",A,"Objective form."
7,31,Information and Ideas,Command of Evidence,"Study shows exercise improves memory.","Supportive sentence?","Exercise decreases memory.","Exercise aids memory.","No effect.","Unknown.",B,"Confirms benefit."
7,32,Expression of Ideas,Rhetorical Synthesis,"The article weighs benefits and risks of vaping.","Rhetorical strategy?","Balanced","Biased","Narrative","Description",A,"Shows pros and cons."
7,33,Craft and Structure,Cross-Text Connections,"Text A pollution causes; Text B health effects.","Relation?","Cause-effect","Opposition","Unrelated","Supporting",A,"One leads to the other."
7,34,Standard English Conventions,Boundaries,"Stop thief!","Role of comma?","Vocative","No effect","Question","Command",A,"Separates address."
7,35,Information and Ideas,Inferences,"She wears gloves in winter.","What is inferred?","Cold weather.","Warm weather.","Rainy weather.","Windy weather.",A,"Cold implied."
7,36,Expression of Ideas,Transitions,"She loves music; moreover, she sings.","Meaning?","Cause","Addition","Contrast","Result",B,"Adds information."
7,37,Craft and Structure,Words in Context,"The crowd was ecstatic.","Meaning?","Sad","Delighted","Confused","Angry",B,"Very happy."
7,38,Standard English Conventions,Form Structure and Sense,"Everybody has ideas.","Which verb?","Has","Have","Had","Having",A,"Singular."
7,39,Information and Ideas,Command of Evidence,"Data shows smoking decline.","Which supports?","Increase","Decrease","Steady","Unknown",B,"Confirms decrease."
7,40,Expression of Ideas,Rhetorical Synthesis,"Passage compares politicians.","What is device?","Comparison","Contrast","Narration","Description",A,"Shows likeness differences."
7,41,Craft and Structure,Text Structure and Purpose,"Article weighs pros and cons of diets.","Purpose?","Inform","Confuse","Entertain","Persuade",A,"Balanced."
7,42,Standard English Conventions,Boundaries,"After game players cheered.","Correct?","After the game, players cheered.","After game players cheered.","After game players, cheered.","After the game players cheered.",A,"Comma needed."
7,43,Information and Ideas,Central Idea,"Text warns against texting while driving.","Central claim?","Safe texting.","Risky texting.","Fun texting.","Needed texting.",B,"Warns risk."
7,44,Expression of Ideas,Transitions,"Though tired, she continued.","Meaning?","Cause","Addition","Contrast","Result",B,"Contrast."
7,45,Craft and Structure,Words in Context,"Her voice was eloquent.","'Eloquent' means?","Unclear","Persuasive","Quiet","Long",B,"Effective communication."
7,46,Standard English Conventions,Form Structure and Sense,"Team wins consistently.","Verb?","Wins","Win","Won","Winning",A,"Singular."
7,47,Information and Ideas,Command of Evidence,"Exercise lowers blood pressure.","Support?","True","False","Unknown","None",A,"Benefit confirmed."
7,48,Expression of Ideas,Rhetorical Synthesis,"Passage contrasts city and rural life.","Technique?","Contrast","Comparison","Narration","Description",A,"Difference."
7,49,Craft and Structure,Cross-Text Connections,"Text A pollution causes; Text B health effects.","Relationship?","Unrelated","Cause-effect","Opposing","Supporting",B,"Causal link."
7,50,Standard English Conventions,Boundaries,"Sit down Sam.","Punctuation fix?","Sit down, Sam.","Sit down Sam.","Sit, down Sam.","Sit down, Sam",A,"Vocative comma."
7,51,Craft and Structure,Words in Context,"The ruins were majestic.","Meaning?","Small","Grand","Ugly","Confusing",B,"Impressive."
7,52,Standard English Conventions,Form Structure and Sense,"List is on table.","Verb?","Is","Are","Was","Were",A,"Singular."
7,53,Information and Ideas,Central Idea,"Passage encourages water conservation.","Central idea?","Water unlimited.","Conservation vital.","Water cheap.","Water clean.",B,"Focus on conservation."
7,54,Expression of Ideas,Transitions,"He failed; therefore, studied more.","Meaning?","Cause","Effect","Addition","Contrast",B,"Result."
8,1,Craft and Structure,Words in Context,"The scientist’s discovery was groundbreaking.","What does 'groundbreaking' most nearly mean?","Innovative","Common","Simple","Old",A,"'Groundbreaking' means novel and innovative."
8,2,Standard English Conventions,Boundaries,"She don't want to go.","Which revision is correct?","She doesn't want to go.","She don't wants to go.","She doesn't wants to go.","She don't want to go.",A,"Subject-verb agreement requires 'doesn't'."
8,3,Information and Ideas,Command of Evidence,"Passage argues that bees are crucial for pollination.","Which sentence supports this?","Bees collect pollen.","Bees pollinate flowers.","Bees make honey.","Bees fly fast.",B,"Direct evidence for pollination."
8,4,Expression of Ideas,Transitions,"The forecast was cloudy; nevertheless, they planned a picnic.","What does 'nevertheless' indicate?","Addition","Contrast","Cause","Result",B,"Shows contrast with forecast."
8,5,Craft and Structure,Text Structure and Purpose,"The article describes the effects of pollution and possible solutions.","What is the author’s purpose?","To entertain","To inform and propose","To confuse","To argue",B,"Informing and suggesting solutions."
8,6,Standard English Conventions,Form Structure and Sense,"Each student have a locker.","Which is correct?","Has","Have","Had","Having",A,"Singular subject requires singular verb."
8,7,Information and Ideas,Central Idea,"The passage discusses benefits of healthy eating.","Central idea?","Healthy eating is harmful.","Healthy eating improves health.","Healthy eating is costly.","Healthy eating has no effect.",B,"Focus on benefits."
8,8,Expression of Ideas,Rhetorical Synthesis,"The text compares the benefits of biking and walking.","What rhetorical device is employed?","Narration","Comparison","Description","Argument",B,"Compares two activities."
8,9,Craft and Structure,Cross-Text Connections,"Text A describes causes of drought; Text B effects on crops.","Relationship?","Cause-effect","Opposite views","No relation","Agreement",A,"Cause leads to effect."
8,10,Standard English Conventions,Boundaries,"Lets eat, children!","How does the comma affect meaning?","Invites children to eat","Eating children","No difference","Confusing",A,"Comma clarifies the invitation."
8,11,Information and Ideas,Inferences,"He carries an umbrella and raincoat.","What can be inferred?","Sunny day","Rain likely","Snowing","Windy",B,"Rain gear suggests rain."
8,12,Expression of Ideas,Transitions,"She was late; however, she finished her work.","What does 'however' indicate?","Addition","Contrast","Cause","Effect",B,"Shows contrast."
8,13,Craft and Structure,Words in Context,"The lecture was insightful.","What does 'insightful' mean?","Unclear","Informative","Long","Complicated",B,"Gives understanding."
8,14,Standard English Conventions,Form Structure and Sense,"Neither of these answers are correct.","Which is correct?","Is","Are","Was","Were",A,"Singular 'Neither' requires singular verb."
8,15,Information and Ideas,Command of Evidence,"Data shows increase in recycling rates.","Which confirms this?","Recycling declined.","Recycling increased.","Recycling unchanged.","Unknown.",B,"Confirms rise."
8,16,Expression of Ideas,Rhetorical Synthesis,"The article presents advantages and disadvantages of electric cars.","What rhetorical strategy?","Balanced","Biased","Narrative","Description",A,"Two sides presented."
8,17,Craft and Structure,Text Structure and Purpose,"The text explains how to bake a cake.","What is the author’s goal?","To entertain","To inform","To confuse","To argue",B,"Instructional purpose."
8,18,Standard English Conventions,Boundaries,"Running late the bus left.","Best revision?","Running late, the bus left.","Running late the bus left.","Running late; the bus left.","Running late: the bus left.",A,"Comma clarifies."
8,19,Information and Ideas,Central Idea,"The passage highlights the need for clean water.","What is the central idea?","Water is abundant.","Clean water is vital.","Water is clean.","Water is cheap.",B,"Focus on necessity."
8,20,Expression of Ideas,Transitions,"Although tired, he completed the race.","What does 'although' indicate?","Addition","Contrast","Cause","Result",B,"Shows contrast."
8,21,Craft and Structure,Words in Context,"The field was lush and green.","Meaning of 'lush'?","Dry","Abundant","Sparse","Small",B,"Full of healthy growth."
8,22,Standard English Conventions,Form Structure and Sense,"The group were cheering.","Which verb is correct?","Was","Were","Is","Are",A,"Singular 'group' takes singular verb."
8,23,Information and Ideas,Command of Evidence,"Graphs show rise in renewable energy.","Which supports?","Decrease","Increase","Stable","Unknown",B,"Indicates increase."
8,24,Expression of Ideas,Rhetorical Synthesis,"The essay compares online and traditional education.","What rhetorical device?","Comparison","Narration","Description","Argument",A,"Juxtaposes both."
8,25,Craft and Structure,Cross-Text Connections,"Text A discusses deforestation; Text B effects on wildlife.","Relationship?","Cause-effect","Opposition","Unrelated","Support",A,"Cause leads to effect."
8,26,Standard English Conventions,Boundaries,"Wake up, John!","Why comma?","Direct address","No effect","Pause","Emotion",A,"Separates vocative."
8,27,Information and Ideas,Inferences,"She carries a book bag.","Inference?","She is studying.","She is playing.","She is sleeping.","She is eating.",A,"Likely student."
8,28,Expression of Ideas,Transitions,"He studied hard; thus, he passed.","Meaning of 'thus'?","Cause","Effect","Addition","Contrast",B,"Shows result."
8,29,Craft and Structure,Words in Context,"The walls were decorated with vibrant murals.","'Vibrant' means?","Dull","Bright","Dark","Faint",B,"Bright and lively."
8,30,Standard English Conventions,Form Structure and Sense,"Between you and I, it is a secret.","Which is correct?","Me","I","Us","We",A,"Objective case."
8,31,Information and Ideas,Command of Evidence,"Study shows reading improves vocabulary.","Which sentence supports?","Reading reduces vocabulary.","Reading improves vocabulary.","Reading has no effect.","Unknown.",B,"Confirms claim."
8,32,Expression of Ideas,Rhetorical Synthesis,"The passage balances positives and negatives of social media.","Strategy?","Balanced","Biased","Narrative","Description",A,"Two sides presented."
8,33,Craft and Structure,Cross-Text Connections,"Text A explains pollution causes; Text B effects.","Relation?","Cause-effect","Opposition","Unrelated","Support",A,"Linked information."
8,34,Standard English Conventions,Boundaries,"Stop thief!","Role of comma?","Vocative","No effect","Question","Command",A,"Separates address."
8,35,Information and Ideas,Inferences,"Student wears coat and scarf.","What is inferred?","Cold weather.","Warm weather.","Rainy day.","Windy.",A,"Cold weather."
8,36,Expression of Ideas,Transitions,"She loves music; moreover, she sings.","What does 'moreover' mean?","Cause","Addition","Contrast","Result",B,"Additional info."
8,37,Craft and Structure,Words in Context,"The crowd was ecstatic.","Meaning?","Sad","Happy","Confused","Angry",B,"Very happy."
8,38,Standard English Conventions,Form Structure and Sense,"Everybody has opinions.","Which verb?","Has","Have","Had","Having",A,"Singular subject uses singular verb."
8,39,Information and Ideas,Command of Evidence,"Data shows smoking declines.","Support?","Increase","Decrease","Stable","Unknown",B,"Confirms decline."
8,40,Expression of Ideas,Rhetorical Synthesis,"Passage compares political views.","Device?","Comparison","Contrast","Narration","Description",A,"Shows similarities and differences."
8,41,Craft and Structure,Text Structure and Purpose,"Article discusses diet pros and cons.","Purpose?","Inform","Entertain","Confuse","Persuade",A,"Balanced info."
8,42,Standard English Conventions,Boundaries,"After game players cheered.","Correct punctuation?","After the game, players cheered.","After game players cheered.","After game, players cheered.","After the game players cheered.",A,"Comma needed."
8,43,Information and Ideas,Central Idea,"Text warns about texting while driving.","Central claim?","Safe texting","Dangerous texting","Fun texting","Necessary texting",B,"Warns of risk."
8,44,Expression of Ideas,Transitions,"Though tired, she continued.","Meaning?","Addition","Contrast","Cause","Result",B,"Shows contrast."
8,45,Craft and Structure,Words in Context,"Her voice was eloquent.","'Eloquent' means?","Unclear","Persuasive","Quiet","Long",B,"Clear communication."
8,46,Standard English Conventions,Form Structure and Sense,"The team wins.","Verb?","Wins","Win","Won","Winning",A,"Singular."
8,47,Information and Ideas,Command of Evidence,"Exercise lowers blood pressure.","Support?","True","False","Unknown","No effect",A,"Benefit confirmed."
8,48,Expression of Ideas,Rhetorical Synthesis,"Passage contrasts city and rural life.","Rhetorical device?","Contrast","Comparison","Narration","Description",A,"Difference."
8,49,Craft and Structure,Cross-Text Connections,"Text A pollution causes; Text B health effects.","Relationship?","Unrelated","Cause-effect","Opposing","Supporting",B,"Causal link."
8,50,Standard English Conventions,Boundaries,"Sit down Sam.","Punctuate?","Sit down, Sam.","Sit down Sam.","Sit, down Sam.","Sit down, Sam",A,"Vocative comma."
8,51,Craft and Structure,Words in Context,"The ruins were majestic.","Meaning?","Small","Grand","Ugly","Confusing",B,"Impressive."
8,52,Standard English Conventions,Form Structure and Sense,"List is on table.","Verb?","Is","Are","Was","Were",A,"Singular."
8,53,Information and Ideas,Central Idea,"Passage urges water conservation.","Main idea?","Water unlimited.","Conservation essential.","Water cheap.","Water clean.",B,"Focuses on conservation."
8,54,Expression of Ideas,Transitions,"He failed; therefore, studied harder.","Meaning?","Cause","Effect","Addition","Contrast",B,"Shows result."
9,1,Craft and Structure,Words in Context,"The waves crashed against the rocky shore.","What does 'crashed' mean here?","Moved gently","Hit forcefully","Whispered","Floated",B,"'Crashed' implies a forceful impact."
9,2,Standard English Conventions,Boundaries,"He don't like ice cream.","Correct?","He doesn't like ice cream.","He don't likes ice cream.","He doesn't likes ice cream.","He like ice cream.",A,"Subject and verb agreement requires 'doesn't'."
9,3,Information and Ideas,Command of Evidence,"The passage notes that trees absorb carbon dioxide.","Which sentence supports this?","Trees are tall.","Trees absorb CO2.","Trees lose leaves.","Trees are green.",B,"Direct evidence."
9,4,Expression of Ideas,Transitions,"The road was blocked; therefore, they took a detour.","'Therefore' means?","Cause","Effect","Addition","Contrast",B,"Shows consequence."
9,5,Craft and Structure,Text Structure and Purpose,"The passage lists historical events chronologically.","Purpose?","To entertain","To confuse","To inform","To argue",C,"Chronology informs the reader."
9,6,Standard English Conventions,Form Structure and Sense,"Neither answer are correct.","Correct?","Is","Are","Was","Were",A,"Singular subject needs singular verb."
9,7,Information and Ideas,Central Idea,"The passage emphasizes benefits of exercise.","Main idea?","Exercise is harmful.","Exercise is beneficial.","Exercise is boring.","Exercise is hard.",B,"Focus on health benefits."
9,8,Expression of Ideas,Rhetorical Synthesis,"The text compares traditional and online classes.","Device?","Comparison","Narration","Description","Argument",A,"Comparing delivery methods."
9,9,Craft and Structure,Cross-Text Connections,"Text A discusses causes of climate change; Text B effects.","What is their relationship?","Cause-effect","Opposition","Unrelated","Supporting",A,"One causes the other."
9,10,Standard English Conventions,Boundaries,"Lets eat, grandma!","Meaning with comma?","Inviting grandma to eat","Eating grandma","Same","Confusing",A,"Comma clarifies address."
9,11,Information and Ideas,Inferences,"She wears a jacket and scarf.","Inferred?","Cold weather","Hot weather","Rainy","Snowy",A,"Cold weather."
9,12,Expression of Ideas,Transitions,"He was tired; anyhow, he continued.","What does 'anyhow' mean?","Addition","Contrast","Cause","Effect",B,"Shows contrast."
9,13,Craft and Structure,Words in Context,"The art piece was abstract and colorful.","Meaning of 'abstract'?","Realistic","Non-representational","Simple","Dull",B,"Not representing reality directly."
9,14,Standard English Conventions,Form Structure and Sense,"Each of the cars run fast.","Correct?","Runs","Run","Running","Ran",A,"Singular subject takes singular verb."
9,15,Information and Ideas,Command of Evidence,"Graphs indicate a rise in electric car sales.","Support?","Decrease","Increase","Stable","Unknown",B,"Indicates increase."
9,16,Expression of Ideas,Rhetorical Synthesis,"The article evaluates pros and cons of remote learning.","What strategy?","Balanced","Biased","Narrative","Description",A,"Shows two sides."
9,17,Craft and Structure,Text Structure and Purpose,"Instructions to bake a cake are given step by step.","Author's purpose?","Inform","Entertain","Confuse","Argue",A,"To instruct."
9,18,Standard English Conventions,Boundaries,"Running late,the train departed.","Correction?","Running late, the train departed.","Running late the train departed.","Running late; the train departed.","Running late: the train departed.",A,"Comma clarifies."
9,19,Information and Ideas,Central Idea,"The passage advocates for ocean conservation.","Central claim?","Oceans are safe.","Oceans need protection.","Oceans are dirty.","Oceans are unimportant.",B,"Focus on conservation."
9,20,Expression of Ideas,Transitions,"Though sick, she attended school.","'Though' indicates?","Cause","Addition","Contrast","Effect",C,"Introduces contrast."
9,21,Craft and Structure,Words in Context,"The mountain trail was steep and rugged.","'Rugged' means?","Smooth","Rough","Flat","Easy",B,"Uneven and rough."
9,22,Standard English Conventions,Form Structure and Sense,"The team are winning.","Correct?","Is","Are","Was","Were",A,"Singular collective noun takes singular verb."
9,23,Information and Ideas,Command of Evidence,"Data shows increased recycling rates.","Supports?","Decreased","Increased","Stable","Unknown",B,"Indicates increase."
9,24,Expression of Ideas,Rhetorical Synthesis,"Comparison of biking and walking benefits.","Rhetorical device?","Comparison","Narration","Description","Argument",A,"Comparing methods."
9,25,Craft and Structure,Cross-Text Connections,"Text A pollution causes; Text B health impact.","Relation?","Cause-effect","Opposition","Unrelated","Support",A,"Cause and effect."
9,26,Standard English Conventions,Boundaries,"Hurry up John!","Purpose of comma?","Vocative","No effect","Pause","Emotion",A,"Separates name."
9,27,Information and Ideas,Inferences,"A student carries textbooks.","Inferred?","Studying","Playing","Sleeping","Eating",A,"Likely studying."
9,28,Expression of Ideas,Transitions,"He worked hard; therefore, succeeded.","Meaning?","Cause","Effect","Addition","Contrast",B,"Shows outcome."
9,29,Craft and Structure,Words in Context,"The fields were lush and green.","'Lush' means?","Dry","Abundant","Sparse","Short",B,"Rich growth."
9,30,Standard English Conventions,Form Structure and Sense,"Between you and me, this is confidential.","Correct?","Me","I","Us","We",A,"Objective."
9,31,Information and Ideas,Command of Evidence,"Study shows reading improves comprehension.","Supports?","False","True","Unknown","No effect",B,"Confirms claim."
9,32,Expression of Ideas,Rhetorical Synthesis,"Text presents balanced view of social media.","Strategy?","Balanced","Bias","Narrative","Description",A,"Shows pros and cons."
9,33,Craft and Structure,Cross-Text Connections,"Text A climate causes; Text B effects.","Relation?","Cause-effect","Opposition","Unrelated","Support",A,"Linked."
9,34,Standard English Conventions,Boundaries,"Stop thief!","Effect of comma?","Vocative","None","Question","Exclamation",A,"Separates vocative."
9,35,Information and Ideas,Inferences,"She wears gloves in winter.","Inferred?","Cold weather","Warm weather","Rainy","Windy",A,"Indicates cold."
9,36,Expression of Ideas,Transitions,"She loves music; moreover, sings.","Meaning?","Cause","Addition","Contrast","Effect",B,"Adds."
9,37,Craft and Structure,Words in Context,"The crowd was jubilant.","'Jubilant' means?","Sad","Joyful","Confused","Angry",B,"Happy."
9,38,Standard English Conventions,Form Structure and Sense,"Everybody has a voice.","Correct?","Has","Have","Had","Having",A,"Singular."
9,39,Information and Ideas,Command of Evidence,"Data shows smoking decline.","Support?","Increase","Decrease","Stable","Unknown",B,"Decline."
9,40,Expression of Ideas,Rhetorical Synthesis,"Passage compares politicians.","Device?","Compare","Contrast","Narrate","Describe",A,"Shows likeness."
9,41,Craft and Structure,Text Structure and Purpose,"Article discusses diet pros and cons.","Purpose?","Inform","Confuse","Entertain","Persuade",A,"Balanced."
9,42,Standard English Conventions,Boundaries,"After game players cheered.","Correct?","After the game, players cheered.","After game players cheered.","After game players, cheered.","After the game players cheered.",A,"Comma."
9,43,Information and Ideas,Central Idea,"Text warns against texting and driving.","Claim?","Safe texting","Risky texting","Fun texting","Needed texting",B,"Risk warning."
9,44,Expression of Ideas,Transitions,"Though tired, continued.","Meaning?","Addition","Contrast","Cause","Result",B,"Contrast."
9,45,Craft and Structure,Words in Context,"Her voice was eloquent.","'Eloquent'?","Unclear","Persuasive","Quiet","Long",B,"Clear."
9,46,Standard English Conventions,Form Structure and Sense,"Team wins game.","Verb?","Wins","Win","Won","Winning",A,"Singular."
9,47,Information and Ideas,Command of Evidence,"Exercise lowers blood pressure.","Support?","True","False","Unknown","No effect",A,"Confirm."
9,48,Expression of Ideas,Rhetorical Synthesis,"Passage contrasts city and rural life.","Device?","Contrast","Compare","Narrate","Describe",A,"Difference."
9,49,Craft and Structure,Cross-Text Connections,"Text A pollution causes; Text B health effects.","Link?","Unrelated","Cause-effect","Opposing","Supporting",B,"Causal."
9,50,Standard English Conventions,Boundaries,"Sit down Sam.","Correct?","Sit down, Sam.","Sit down Sam.","Sit, down Sam.","Sit down, Sam",A,"Comma."
9,51,Craft and Structure,Words in Context,"The ruins were majestic.","Meaning?","Small","Grand","Ugly","Confusing",B,"Grand."
9,52,Standard English Conventions,Form Structure and Sense,"List is on table.","Verb?","Is","Are","Was","Were",A,"Singular."
9,53,Information and Ideas,Central Idea,"Passage urges water conservation.","Claim?","Water unlimited.","Conserve needed.","Water cheap.","Water clean.",B,"Focus."
9,54,Expression of Ideas,Transitions,"He failed; therefore, studied more.","Meaning?","Cause","Effect","Addition","Contrast",B,"Result."
10,1,Craft and Structure,Words in Context,"The festival was vibrant and colorful.","What does 'vibrant' mean?","Dull","Bright","Dark","Calm",B,"'Vibrant' means bright and lively."
10,2,Standard English Conventions,Boundaries,"He don't like soccer.","Correct?","He doesn't like soccer.","He don't likes soccer.","He doesn't likes soccer.","He don't like soccer.",A,"Subject-verb agreement requires 'doesn't.'"
10,3,Information and Ideas,Command of Evidence,"The passage states trees provide oxygen.","Supporting sentence?","Trees are tall.","Trees provide oxygen.","Trees lose leaves.","Trees bloom.",B,"Directly supports claim."
10,4,Expression of Ideas,Transitions,"It was cold; yet, they played outside.","'Yet' means?","Addition","Contrast","Cause","Effect",B,"Indicates contrast."
10,5,Craft and Structure,Text Structure and Purpose,"The article describes problems and solutions for pollution.","Purpose?","To entertain","To inform and propose","To argue","To confuse",B,"Problem-solution structure."
10,6,Standard English Conventions,Form Structure and Sense,"Every student have homework.","Correct?","Has","Have","Had","Having",A,"Singular subject requires singular verb."
10,7,Information and Ideas,Central Idea,"The passage discusses health benefits of exercise.","Main idea?","Exercise harms health.","Exercise benefits health.","Exercise is boring.","Exercise is tiring.",B,"Focus on benefits."
10,8,Expression of Ideas,Rhetorical Synthesis,"The text compares benefits of biking and running.","Rhetorical device?","Narration","Comparison","Description","Argument",B,"Compares two forms of exercise."
10,9,Craft and Structure,Cross-Text Connections,"Text A discusses water pollution; Text B effects on fish.","Relationship?","Cause and effect","Opposition","Unrelated","Agreement",A,"Cause-effect relationship."
10,10,Standard English Conventions,Boundaries,"Let's eat kids!","Punctuation impact?","Inviting kids to eat","Eating kids","No change","Same meaning",A,"Comma clarifies meaning."
10,11,Information and Ideas,Inferences,"A person carries an umbrella.","Inference?","Sunny","Rainy","Snowy","Windy",B,"Umbrella suggests rain."
10,12,Expression of Ideas,Transitions,"She was tired; still, she worked.","'Still' means?","Cause","Addition","Contrast","Result",C,"Shows contrast."
10,13,Craft and Structure,Words in Context,"The lecture was inspiring and informative.","'Inspiring' means?","Boring","Motivating","Confusing","Meaningless",B,"Motivates listeners."
10,14,Standard English Conventions,Form Structure and Sense,"Neither of the books were available.","Correct?","Was","Were","Is","Are",A,"Singular subject requires singular verb."
10,15,Information and Ideas,Command of Evidence,"Graphs show growth in solar power use.","Which supports this?","Solar power use declined.","Solar power use grew.","No change.","Unknown.",B,"Confirms growth."
10,16,Expression of Ideas,Rhetorical Synthesis,"Article discusses advantages and disadvantages of electric cars.","Strategy?","Balanced","Bias","Narrative","Description",A,"Shows both sides."
10,17,Craft and Structure,Text Structure and Purpose,"The text details steps to make a cake.","Purpose?","To entertain","To instruct","To confuse","To argue",B,"Instruction."
10,18,Standard English Conventions,Boundaries,"Running late the train departed.","Best revision?","Running late, the train departed.","Running late the train departed.","Running late; the train departed.","Running late: the train departed.",A,"Comma clarity."
10,19,Information and Ideas,Central Idea,"The passage urges conservation of water.","Main idea?","Water abundant.","Conservation needed.","Water cheap.","Water clean.",B,"Focus on conservation."
10,20,Expression of Ideas,Transitions,"Though sick, she attended class.","'Though' indicates?","Addition","Contrast","Cause","Effect",B,"Shows contrast."
10,21,Craft and Structure,Words in Context,"The sky was overcast and gray.","Meaning?","Clear","Cloudy","Bright","Sunny",B,"Cloud covered."
10,22,Standard English Conventions,Form Structure and Sense,"The group is here.","Which verb?","Is","Are","Was","Were",A,"Singular collective noun."
10,23,Information and Ideas,Command of Evidence,"Data shows increase in wind power.","Support?","Decrease","Increase","Stable","Unknown",B,"Evidence of increase."
10,24,Expression of Ideas,Rhetorical Synthesis,"Essay compares online and traditional schooling.","Device?","Comparison","Narration","Description","Argument",A,"Compares methods."
10,25,Craft and Structure,Cross-Text Connections,"Text A causes drought; Text B effects.","Relation?","Cause and effect","Opposition","Unrelated","Supporting",A,"Linked."
10,26,Standard English Conventions,Boundaries,"Wake up, Sam!","Comma purpose?","Vocative","No effect","Pause","Emotion",A,"Separates address."
10,27,Information and Ideas,Inferences,"A student carries books.","Inference?","Studying","Playing","Sleeping","Eating",A,"Likely studying."
10,28,Expression of Ideas,Transitions,"He studied hard; hence, he passed.","What does 'hence' mean?","Cause","Effect","Addition","Contrast",B,"Shows result."
10,29,Craft and Structure,Words in Context,"The garden was blooming.","Meaning?","Dying","Growing","Dry","Fading",B,"Growing healthily."
10,30,Standard English Conventions,Form Structure and Sense,"Between you and me, a secret.","Correct?","Me","I","Us","We",A,"Object pronoun."
10,31,Information and Ideas,Command of Evidence,"Study shows reading improves brainfunction.","Supports?","False","True","Unknown","No effect",B,"Confirms benefit."
10,32,Expression of Ideas,Rhetorical Synthesis,"Text presents pros and cons of social media.","Strategy?","Balanced","Biased","Narrative","Description",A,"Shows sides."
